location,x_Coordinate,y_Coordinate,confirmed,deaths
California, 41.002840995788574, 201.78977584838867, 467103,8544
Florida, 493.3333435058594, 337.4791660308838, 432739, 5930
New York, 524.3333435058594, 94.47916603088379, 417056, 32322
Texas, 272, 310.4791660308838, 402295, 6292
New Jersey, 539, 136.3333282470703, 181732, 15804
Illinois, 381, 173.08333206176758, 174442, 7619
Arizona, 121, 252.3333282470703, 163918, 3320
Georgia, 461, 275.04166412353516, 155907, 3435
Massachusetts, 569.0028409957886, 92.9602279663086, 115926, 8536
North Carolina, 502, 219.875, 114689, 1815
Pennsylvania, 505, 130.875, 112995, 7174
Louisiana, 361, 319.875, 110029, 3786
Tennessee, 422, 232.875, 93869, 965
Michigan, 429, 114.875, 87329, 6407
Virginia, 503, 186.875, 86072, 2082  
Maryland, 517.0028409957886, 156.9602279663086, 85436,  3447  
Ohio, 450, 156.25, 85177, 3344
South Carolina, 487, 251.25, 82417, 1506
Alabama, 421, 286.25, 81115, 2906
Indiana, 417, 160.25, 64417, 1611
Washington, 70, 36.25, 55548, 905
Wisconsin, 367, 104.25, 53323, 1501
Mississippi, 385, 286.25, 52957, 1616
Minnesota, 318, 74.25, 51843, 4418
Connecticut, 557.0028409957886, 110.9602279663086, 48983, 1245
Missouri, 347, 198.25, 44813, 1800
Colorado, 197, 191.25, 44723, 739
Nevada,  76.00284099578857, 163.17613983154297, 43880, 836
Iowa, 331.0028409957886, 149.17613983154297, 42696, 408
Arkansas, 348.0028409957886, 261.17613983154297, 39447, 285
Utah, 135.00284099578857, 182.17613983154297, 38439, 495
Oklahoma, 296.0028409957886, 250.0028409957886, 32529, 726
Kentucky, 429.0028409957886, 204.17613983154297, 28250, 338
Kansas, 278.0028409957886, 205.17613983154297, 26439, 322
Nebraska, 266.0028409957886, 159.17613983154297, 24899, 619
New Mexico, 188.00284099578857, 266.17613983154297, 19502, 159
Idaho, 116.00284099578857, 109.17613983154297, 18836, 1004
Rhode Island, 566.0028409957886, 104.17613983154297, 18515, 289
Oregon, 54.002840995788574, 89.17613983154297, 17122, 201
Delaware, 536.0028409957886, 158.17613983154297, 14406, 579
South Dakota, 265, 106.25, 8444, 123
New Hampshire, 560.0028409957886, 74.17613983154297, 6441, 409
West Virginia, 480.0028409957886, 173.17613983154297, 6054, 106
North Dakota, 261.0028409957886, 56.17613983154297, 5990, 103
Maine, 577.0028409957886, 40.17613983154297, 3832, 119
Montana, 174.00284099578857, 56.17613983154297, 3406, 47
Wyoming, 185.00284099578857,129.17613983154297,  2520, 25
Vermont, 547.0028409957886, 59.78977584838867, 1402, 56
